,Dataset,Dataset Indices,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,Rotation,Flare,Ear (bin),Ear
229,SONICOM,18,1.34039,1.00437,1.57502,1.48336,5.79955,2.96238,0.64,1.04,1.18,0.3,13.95533511680354,22.233916419866812,1.0,Right
29,HUTUBS,49,2.1019,1.0304,1.8066,2.1069,6.1259,2.8759,0.83,1.12,1.06,0.38,13.7884,41.5432,0.0,Left
285,SONICOM,88,1.87046,0.529456,1.6001,1.13624,5.79439,2.86128,1.73,0.94,0.75,0.56,10.475129168864557,40.3651718390545,1.0,Right
69,SONICOM,10,1.55838,0.82667,1.9554,1.81831,6.13103,3.03602,0.65,1.18,1.35,0.31,7.07866084827368,19.73835023172156,0.0,Left
173,HUTUBS,32,1.9044,0.9511,1.6031,2.1004,6.0817,2.9985,0.6,1.04,1.11,0.31,6.0444,23.9581,1.0,Right
149,SONICOM,172,1.359,0.948368,1.65401,1.56467,5.70218,2.98431,0.5,0.83,1.02,0.46,2.0867702549459026,21.676472570655527,0.0,Left
43,HUTUBS,71,1.712,1.1477,1.7502,1.9562,6.4527,3.3754,0.97,1.18,1.28,0.36,9.496,28.7584,0.0,Left
268,SONICOM,66,1.26538,0.932818,1.72779,1.26507,4.43024,2.34265,0.41,0.59,0.75,0.19,3.908296986830613,64.50215674336978,1.0,Right
188,HUTUBS,61,1.9957,1.1276,1.8394,2.0217,6.3892,3.4257,0.66,1.1,1.1,0.25,6.6193,20.7621,1.0,Right
185,HUTUBS,58,1.8007,1.028,2.0425,2.2214,6.9569,3.275,0.57,1.5,1.46,0.33,20.053,30.6095,1.0,Right
258,SONICOM,54,1.71008,0.816428,1.7893,1.97967,6.85168,2.92438,0.86,1.0,1.18,0.37,11.006960726022221,24.768684772062105,1.0,Right
64,SONICOM,4,1.71152,0.924454,1.6262,1.67156,6.62391,2.67586,0.41,1.3,1.18,0.26,11.585617365519564,38.63882452119114,0.0,Left
109,SONICOM,59,1.5222,1.05597,1.54866,1.55118,5.92541,3.04523,0.43,0.7,0.86,0.27,9.36887517522986,29.824613627880087,0.0,Left
38,HUTUBS,66,2.0343,0.9336,1.4511,2.2259,6.5258,3.2549,0.49,0.99,1.11,0.34,7.3546,26.2669,0.0,Left
82,SONICOM,25,1.615,0.866558,1.82242,1.98102,6.42573,3.0273,0.49,1.08,1.18,0.42,9.127712147799937,30.286024818447366,0.0,Left
264,SONICOM,62,1.61209,0.932677,1.73172,1.40326,6.06456,3.06334,0.68,1.13,1.17,0.15,9.246755959888123,27.266594507364704,1.0,Right
235,SONICOM,25,1.4803,0.798413,1.76688,2.00912,6.17111,3.00713,0.55,1.15,1.29,0.3,11.249989696315678,30.10570615980408,1.0,Right
112,SONICOM,63,1.9115,0.885255,1.48963,1.60551,6.40822,2.59723,0.5,1.3,1.2,0.15,4.1409607253923495,34.83509743311998,0.0,Left
98,SONICOM,44,1.62137,0.83952,1.45389,1.65069,6.4083,2.6714,0.53,0.85,0.97,0.44,14.776264147649194,25.994481797442607,0.0,Left
141,SONICOM,101,1.69516,0.988441,1.82997,1.26519,5.7373,2.4843,0.41,1.17,1.12,0.43,12.89179565207778,31.921394800266047,0.0,Left
85,SONICOM,28,1.61387,0.945881,1.94927,1.84722,6.02207,3.25084,0.48,1.06,1.39,0.35,14.754278706090254,18.82549218565208,0.0,Left
10,HUTUBS,11,1.8448,1.0187,1.4413,1.7087,6.1755,2.4318,0.598,1.02,1.1,0.23,14.5198,25.3797,0.0,Left
132,SONICOM,88,2.162,0.701225,1.61874,1.1644,5.62904,2.82122,1.35,1.03,1.02,0.58,10.477578062698315,34.51927037574741,0.0,Left
163,HUTUBS,11,1.9053,0.9878,1.5079,1.7273,6.1274,2.5331,0.6,0.98,1.12,0.23,18.6591,16.6062,1.0,Right
228,SONICOM,17,1.76482,1.1273,1.71556,1.69001,6.75899,2.96576,0.69,1.17,1.16,0.32,11.248688716838862,18.30019965732295,1.0,Right
49,HUTUBS,78,1.6851,1.0036,1.4535,1.7708,5.628,2.9485,0.38,1.11,1.04,0.33,8.246,22.2614,0.0,Left
225,SONICOM,14,1.39675,1.02404,1.39546,1.36128,6.13582,2.50383,0.66,0.92,1.01,0.33,2.737463304381841,28.673181500388576,1.0,Right
93,SONICOM,38,1.53868,1.09305,1.70712,2.02011,6.43412,2.62362,0.72,1.11,0.97,0.22,8.123643042830478,32.36200327126955,0.0,Left
214,SONICOM,1,2.15879,0.603589,1.58066,1.74339,6.77718,2.99259,0.69,1.36,1.28,0.38,10.115988382895068,24.838315226947913,1.0,Right
224,SONICOM,13,1.94715,0.785784,1.60787,1.88796,6.69462,2.9803,0.67,1.17,1.18,0.45,10.65988262622193,35.018742815906684,1.0,Right
4,HUTUBS,5,1.534,1.139,2.1198,2.0516,6.2306,2.8622,0.5,1.09,1.19,0.41,20.6508,8.6028,0.0,Left
46,HUTUBS,75,1.8336,1.0155,1.5038,2.1722,6.1552,3.2622,0.56,0.9,1.15,0.18,12.8625,24.4402,0.0,Left
138,SONICOM,97,1.51728,0.860073,1.99856,1.94278,5.87159,2.96321,0.54,1.46,1.59,0.31,14.371762539689437,23.060198036689396,0.0,Left
80,SONICOM,23,1.9179,0.885877,1.58614,1.53721,5.92953,3.0814,0.66,1.11,0.95,0.27,14.277142808108678,28.65298220383512,0.0,Left
233,SONICOM,23,1.75926,0.876481,1.4644,1.8884,6.17267,2.97686,0.69,1.01,1.02,0.29,8.635966907828669,32.23078454013568,1.0,Right
2,HUTUBS,3,1.6712,0.9326,1.6958,2.2112,6.0814,2.9436,0.73,1.1,1.18,0.47,15.6165,27.1099,0.0,Left
238,SONICOM,28,1.53192,0.902184,2.02541,1.77801,5.96534,3.25334,0.72,0.98,1.17,0.28,10.507131416967017,16.938568488402332,1.0,Right
56,HUTUBS,91,1.6271,0.9381,1.6635,2.1499,5.8941,2.9325,0.76,1.09,1.25,0.29,6.3377,22.0418,0.0,Left
3,HUTUBS,4,1.8533,1.0162,2.0469,2.3893,6.0353,2.569,0.61,1.27,1.3,0.35,12.3134,36.5629,0.0,Left
186,HUTUBS,59,2.0164,1.0622,1.4443,1.8853,5.9932,2.898,0.79,1.15,1.25,0.33,14.6932,25.3455,1.0,Right
50,HUTUBS,80,1.7713,0.9531,1.7265,1.9865,6.1662,3.0327,0.49,1.42,1.45,0.35,15.8907,15.3557,0.0,Left
211,HUTUBS,94,1.7165,0.8943,1.6902,1.9934,4.9727,2.4002,0.56,1.13,0.95,0.23,14.6413,25.824,1.0,Right
183,HUTUBS,55,1.8016,1.1165,1.4275,2.263,6.1243,2.6872,0.63,1.3,1.4,0.22,5.8158,29.5972,1.0,Right
192,HUTUBS,67,1.9704,1.016,1.8248,2.2715,6.2389,3.4584,0.65,1.13,1.04,0.28,8.8504,27.3793,1.0,Right
203,HUTUBS,80,1.7341,1.009,1.7281,1.8959,6.0709,3.008,0.49,1.4,1.35,0.35,10.5847,16.8221,1.0,Right
66,SONICOM,6,1.59505,0.736141,1.88366,1.48713,6.16572,3.17827,0.64,0.96,1.17,0.26,13.876485113974764,25.408833777008322,0.0,Left
121,SONICOM,74,1.46807,0.986405,1.51463,1.35385,5.96633,2.46458,0.4,1.13,1.13,0.27,11.048702511645027,36.67834168275778,0.0,Left
277,SONICOM,77,1.57556,0.757546,1.4969,1.4011,6.15572,2.5944,0.52,0.96,1.0,0.27,3.7315945682124187,39.78139053995204,1.0,Right
205,HUTUBS,82,2.1024,1.0717,2.0195,2.5292,6.5344,3.6648,0.57,1.24,1.36,0.26,9.0934,33.4589,1.0,Right
108,SONICOM,58,1.78787,1.237779,1.32841,1.38102,6.33978,2.97875,0.55,0.8,0.94,0.48,5.6535139392669675,43.45896752791223,0.0,Left
279,SONICOM,79,1.75769,1.24556,1.86936,1.94206,6.50081,3.5303,0.77,1.39,1.09,0.23,8.593423671605882,25.246706091211784,1.0,Right
304,SONICOM,181,1.40915,1.01509,1.54119,1.16065,5.73735,3.06165,0.44,0.75,0.37,0.15,10.343370676273214,30.629218665552088,1.0,Right
142,SONICOM,102,1.56438,0.857743,1.31666,1.74986,5.38514,2.67596,0.22,0.8,0.61,0.2,16.890378952783394,31.2523216994904,0.0,Left
182,HUTUBS,49,2.1276,1.0351,1.7785,2.108,6.3255,2.753,0.83,1.08,1.1,0.38,6.3509,37.8943,1.0,Right
204,HUTUBS,81,1.9489,0.8821,1.4531,1.3536,5.5381,2.7208,0.68,1.0,1.0,0.29,13.4757,33.7073,1.0,Right
11,HUTUBS,12,1.794,1.0988,2.0011,2.3893,6.4604,3.0007,0.64,1.04,1.2,0.35,15.6989,28.85,0.0,Left
134,SONICOM,91,1.43301,1.07729,1.71059,1.77796,6.36563,2.8361,0.44,1.01,1.07,0.28,11.072533870703152,20.002941474350408,0.0,Left
278,SONICOM,78,1.88987,1.07467,1.59032,1.79042,6.37896,3.21379,0.64,1.06,0.95,0.3,8.793634157159984,30.1961641170912,1.0,Right
28,HUTUBS,48,1.716,0.9149,1.3374,1.9573,5.7167,2.7941,0.42,0.99,0.93,0.36,8.0393,26.2162,0.0,Left
195,HUTUBS,70,1.7182,0.9218,1.5425,1.8537,5.7484,2.9691,0.5,1.1,1.2,0.26,14.4409,21.7727,1.0,Right
30,HUTUBS,55,1.7018,0.9721,1.3709,2.1631,6.0495,2.8277,0.63,1.28,1.39,0.22,6.7896,24.3769,0.0,Left
86,SONICOM,30,1.673,0.961239,1.64017,1.33378,5.36466,2.98085,0.56,0.98,0.98,0.42,10.950801734115164,28.99270295485843,0.0,Left
209,HUTUBS,91,1.6464,1.0033,1.6456,1.9582,5.8354,3.0065,0.76,0.96,1.24,0.29,7.1341,23.6179,1.0,Right
37,HUTUBS,63,1.5124,0.9148,1.7923,1.3375,4.9783,2.7462,0.46,1.001,1.26,0.21,7.3119,18.5086,0.0,Left
72,SONICOM,14,1.36937,1.05391,1.74904,1.36937,5.98394,2.5882,0.62,0.98,1.06,0.24,1.3765949055367257,19.471762540340958,0.0,Left
240,SONICOM,31,1.64342,0.629879,1.16293,1.48436,5.84136,2.98443,0.6,1.24,1.09,0.4,11.396330709109803,39.27961603813726,1.0,Right
53,HUTUBS,88,1.7848,0.9542,1.6287,2.1294,5.7833,2.5578,0.65,1.16,1.2,0.34,7.3446,18.8856,0.0,Left
131,SONICOM,86,1.68474,1.50207,1.71271,0.855695,6.19223,2.93738,0.76,1.05,1.17,0.42,7.852672130210218,29.368795637196,0.0,Left
107,SONICOM,56,1.63622,0.869121,1.24049,1.26061,5.62945,2.95968,0.55,1.07,0.9,0.18,10.384477993573118,38.04356605863385,0.0,Left
303,SONICOM,176,1.5651,0.761611,1.39531,1.31079,6.07951,3.2188,0.42,0.83,0.72,0.35,11.307272757768368,32.873261513292505,1.0,Right
